DATE,WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G
5/26/1961,9.3,0,0,0,10.6,0,4.6,2.2
5/27/1961,4.9,0,0,0,12.5,0,3.2,-1.2
5/28/1961,5.4,0,0,0,14,0,1,-2.8
5/29/1961,11.7,0,1.8,0,13.3,0,9.2,7.5
5/30/1961,5.8,0,0,0,14.2,0,10,8.1
5/31/1961,6.6,0,0,0,17,0,7.8,3.3
6/1/1961,9.8,0,0,0,17,0,5,3.2
6/2/1961,7.9,0,0,0,17.8,0,10.5,10.1
6/3/1961,10.4,0,0,0,18.7,0,11.7,10.8
6/4/1961,6.2,0,0,0,20.8,0,11.3,10.5
6/5/1961,3.4,0,9.4,2,17,0,12.7,11.7
6/6/1961,4.2,0,0.3,0,16.7,0,11.5,10.6
6/7/1961,8.2,0,4.8,0,17.7,0,8.8,6.6
6/8/1961,9.5,0,0.7,0,15.5,0,7.6,6.1
6/9/1961,8.3,0,1.8,0,17.2,0,6.1,4.4
6/10/1961,9.7,0,1.6,0,15.7,0,10.4,9.6
6/11/1961,6.3,0,3.6,0,16.6,0,9,8.4
6/12/1961,9.2,0,1,0,13.6,0,10.5,9
6/13/1961,4.7,0,0.2,0,18,0,6.2,3.2
6/14/1961,5.7,0,1.2,0,18.8,0,6.4,2.2
6/15/1961,8.3,0,0.1,0,18.8,0,13.1,10.4
6/16/1961,10.5,0,0.2,0,19.6,0,7.7,4.7
6/17/1961,13,0,0.8,0,20,0,15,14.4
6/18/1961,13.7,0,0,0,17.6,0,9.5,7.2
6/19/1961,10.4,0,0,0,17.3,0,8.7,6.4
6/20/1961,7.9,0,0,0,16.6,0,8.7,8.7
6/21/1961,10.5,0,1.6,0,19.4,0,7.2,2.1
6/22/1961,13.3,0,0,0,18.5,0,11.6,11.5
6/23/1961,14.2,0,0,0,22.4,0,11.6,9.4
6/24/1961,14.9,0,0,0,23,0,11.5,6.7
6/25/1961,11.9,0,2.8,0,21.6,0,12.1,11.4
6/26/1961,8.4,0,0,0,15.2,0,11.6,11.5
6/27/1961,10.5,0,0,0,16.7,0,6.1,3.5
6/28/1961,8.8,0,0,0,19.5,0,8.1,2.4
6/29/1961,8.3,0,0,0,22.2,0,11.1,8.5
6/30/1961,4.9,0,0,0,23.4,0,11.6,9
7/1/1961,6.7,0,0,0,19.4,0,15.5,14.4
7/2/1961,5.8,0,0,0,20.1,0,12.1,11.5
7/3/1961,15.8,0,0.6,0,18.3,0,9.5,7.2
7/4/1961,14.9,0,0,0,18.2,0,10.6,9.8
7/5/1961,10.1,0,0,0,20,0,7.1,4.5
7/6/1961,7.1,0,0.1,0,20.2,0,8,4.4
7/7/1961,14.5,0,0.2,0,21.2,0,13.6,12.2
7/8/1961,14,0,0,0,18.3,0,14.4,13.7
7/9/1961,9.5,0,6.4,0,18.4,0,12.3,11.2
7/10/1961,2.7,0,6.6,0,17.3,0,12.2,11.7
7/11/1961,7.4,0,5.4,0,17.4,0,12.8,12.8
7/12/1961,9.1,0,0.4,0,19,0,13.3,10.1
7/13/1961,16.8,0,21.4,0,13.8,0,9,8.4
7/14/1961,11.8,0,0.1,0,17.4,0,8.3,8.6
7/15/1961,10.3,0,2.6,0,18.8,0,7.6,5.8
7/16/1961,13.1,0,0.1,0,15.6,0,11,10.1
7/17/1961,7.1,0,0,0,19.7,0,10.5,8.8
7/18/1961,5,0,0,0,19.3,0,10.5,6.8
7/19/1961,3.5,0,0,0,18.7,0,7.6,3.4
7/20/1961,3,0,0,0,18.3,0,12.1,11.2
7/21/1961,2.2,0,0,0,16,0,11.7,7.7
7/22/1961,4.8,0,0,0,17.1,0,8.1,8.8
7/23/1961,2.2,0,0,0,17.3,0,10,7.7
7/24/1961,3.6,0,0,0,18.3,0,11.1,8.6
7/25/1961,12.3,0,1.6,0,20.6,0,11.6,9.2
7/26/1961,18.8,0,0,0,17.5,0,12.7,11.3
7/27/1961,7.9,0,2.6,0,16.7,0,10.2,11.2
7/28/1961,9.7,0,0,0,17.8,0,7.7,5.5
7/29/1961,5.8,0,0,0,18.2,0,11.2,10.5
7/30/1961,6,0,0,0,21.4,0,8.2,5.3
7/31/1961,3.8,0,0,0,17.7,0,11.7,10.7
8/1/1961,4.2,0,0.7,0,17.1,0,7.3,3.7
8/2/1961,8.9,0,0.9,0,17.8,0,10.4,9
8/3/1961,11.9,0,5.1,0,19.3,0,9.1,6
8/4/1961,13.5,0,0,0,20.6,0,13.4,13.1
8/5/1961,10.5,0,0,0,19.5,0,7.6,3.3
8/6/1961,7.9,0,0.1,0,18.3,0,13.1,8.4
8/7/1961,3.9,0,15,2,14.4,0,6.1,1.6
8/8/1961,10.6,0,1.1,0,19,0,10,9.8
8/9/1961,11.3,0,1.9,0,18.3,0,10.4,8.4
8/10/1961,4.7,0,1.2,0,16.6,0,9,6.2
8/11/1961,6.8,0,0.2,0,16.6,0,8.8,6.2
8/12/1961,6.8,0,0.8,0,19.1,0,5.6,2.2
8/13/1961,10.9,0,0.1,0,18.4,0,11.2,10.2
8/14/1961,15.1,0,0.4,0,18.8,0,11.6,9.7
8/15/1961,9.4,0,0.3,0,18.3,0,12.2,12
8/16/1961,13,0,0,0,19,0,11.1,10.7
8/17/1961,10.2,0,0.4,0,21.7,0,11.2,9.3
8/18/1961,19,0,0.8,0,17,0,12.5,13.3
8/19/1961,13.2,0,0.3,0,15.6,0,12,11.5
8/20/1961,12.6,0,9.5,0,21,0,11.3,10.1
8/21/1961,19,0,0.2,0,17.3,0,13,12.2
8/22/1961,12.1,0,0,0,17.2,0,10.5,10.5
8/23/1961,8.2,0,5,0,21.6,0,11.6,10.7
8/24/1961,5.7,0,0,0,18,0,6.4,5
8/25/1961,10.9,0,1.8,0,19.4,0,12.8,12.8
8/26/1961,9.8,0,1.1,0,18.2,0,8.6,5.2
8/27/1961,12.1,0,0,0,21.7,0,12.1,9.5
8/28/1961,9.1,0,0,0,24.6,0,12.6,9.4
8/29/1961,14.1,0,0,0,22.7,0,17.8,14.8
8/30/1961,4.6,0,0,0,20,0,9.4,4.8
8/31/1961,2.9,0,0.1,0,21.1,0,5,4.4
9/1/1961,4.6,0,0.1,0,21,0,11.1,1.3
9/2/1961,3.8,0,0.1,0,20.5,0,12.3,10.4
9/3/1961,5.9,0,0,0,16.1,0,13.7,13.7
9/4/1961,1.3,0,0,0,18.3,0,14.4,14.4
9/5/1961,9.4,0,0.2,0,15.6,0,10.6,8.4
9/6/1961,14.1,0,3.4,0,16.6,0,9.6,8.1
9/7/1961,7.9,0,0,0,15.8,0,6.7,5
9/8/1961,3.2,0,0,0,17.7,0,6.6,3.2
9/9/1961,6.9,0,7.9,0,20.2,0,5.6,2.3
9/10/1961,4.8,0,0,0,21.4,0,13.4,10.5
9/11/1961,8.6,0,2.8,0,18.2,0,10.5,6.4
9/12/1961,11.1,0,0.5,0,19.5,0,10,6.8
9/13/1961,11.8,0,0.8,0,19.1,0,12.6,10.7
9/14/1961,12.8,0,1,0,19.5,0,10.4,7.8
9/15/1961,13,0,0.5,0,19.4,0,13.1,12.4
9/16/1961,20.8,0,0,2,19.5,0,12.7,13.3
9/17/1961,7.9,0,0,0,20,0,10.5,7.2
9/18/1961,4.2,0,0.1,0,18.4,0,5.1,1.3
9/19/1961,8.2,0,9,0,21.6,0,11.6,8.1
9/20/1961,4.8,0,9.8,0,17.6,0,11.1,9.4
9/21/1961,6.5,0,0,0,18.3,0,13.2,12.6
9/22/1961,4.1,0,0.4,0,20.7,0,4.2,0.2
9/23/1961,6.1,0,2.8,0,20.3,0,13.3,12.1
9/24/1961,5.9,0,0,0,16.7,0,5.7,5
9/25/1961,8.9,0,0,0,15.5,0,4.6,0.5
9/26/1961,12.5,0,1.2,0,16.6,0,12.2,9.8
9/27/1961,8.1,0,32,0,14.5,0,8.1,4.5
9/28/1961,9.1,0,6.1,0,14.4,0,10.5,10
9/29/1961,9.2,0,1.2,0,16.8,0,8,2.2
9/30/1961,11,0,0,0,14.8,0,8.5,4.6
10/1/1961,5.8,0,0.5,0,16,0,10.3,7.6
10/2/1961,8.7,0,3.4,0,17.7,0,10.4,8.4
10/3/1961,4,0,7.3,0,15.5,0,13.8,10.6
10/4/1961,3.5,0,4,0,12.7,0,6.6,5.1
10/5/1961,5.6,0,1.8,0,14.7,0,8.8,9.7
10/6/1961,13,0,3,0,15,0,11,9.5
10/7/1961,6.9,0,0.6,0,14.6,0,4.3,2.7
10/8/1961,10.2,0,1.6,0,15.1,0,6.4,2.7
10/9/1961,9,0,1.7,0,17.5,0,7.8,2.7
10/10/1961,11.8,0,0.9,0,16.6,0,10.4,8.3
10/11/1961,12.7,0,0.1,0,14.3,0,9,6.8
10/12/1961,5.6,0,0,0,15.5,0,2,-1.5
10/13/1961,9.9,0,0,0,17.8,0,5.7,2.6
10/14/1961,3,0,0,0,15.6,0,8.8,0
10/15/1961,9,0,0,0,13.8,0,2.5,2.3
10/16/1961,14.6,0,2.2,0,12.2,0,6.5,4.1
10/17/1961,22.2,0,0,0,12.6,0,8.8,7.3
10/18/1961,21.8,0,0,0,12.3,0,6,4.5
10/19/1961,13.2,0,1.1,0,9.6,0,5.7,3.5
10/20/1961,12.1,0,0,0,10.7,0,2.5,-0.2
10/21/1961,7.5,0,0.3,0,13.7,0,5,3.8
10/22/1961,17.6,0,16.7,0,12.6,0,8.4,4.8
10/23/1961,16.2,0,6.6,0,14.5,0,6,4.8
10/24/1961,18,0,5.6,0,11.5,0,8.2,6.6
10/25/1961,18.3,0,0.2,0,11.1,0,3.2,1.7
10/26/1961,9.8,0,0,0,13.3,0,7.4,5.2
10/27/1961,7.8,0,1.6,0,11.6,0,4.5,-0.4
10/28/1961,9.8,0,0,0,11.7,0,3.7,1
10/29/1961,9.4,0,0,0,10.4,0,1.5,-3.6
10/30/1961,14.9,0,0,0,12.5,0,5,-1.1
10/31/1961,15.3,0,0.5,0,15.4,0,8.3,8.4
11/1/1961,13.1,0,0.3,0,15.4,0,7.7,3.1
11/2/1961,15.8,0,0.5,0,11.7,0,8,5.4
11/3/1961,11.2,0,0,0,8.2,0,2.2,-1.2
11/4/1961,8.5,0,0,0,10.6,0,1.3,-2.4
11/5/1961,10.8,0,0.4,0,13,2,3,NA
11/6/1961,8.2,0,0,2,11.3,0,6.6,4.1
11/7/1961,9.3,0,4.1,0,13.2,0,6.6,5.6
11/8/1961,6.6,0,0,0,10,0,2.3,-1.6
11/9/1961,8.2,0,0,0,9.5,1,-1,-6.3
11/10/1961,7.7,0,0.3,0,6.1,1,-1.6,-6.6
11/11/1961,12.1,0,0,0,8.6,1,-1.6,-5.5
11/12/1961,13,0,0,0,10.5,0,0.8,-4.4
11/13/1961,21.9,0,0,0,10.5,0,3.2,1.1
11/14/1961,15.7,0,0,0,9.4,0,8,5.4
11/15/1961,6,0,0,0,8.7,0,6.7,5.8
11/16/1961,2.3,0,0.5,0,8.3,0,6.1,5
11/17/1961,3.1,0,0.4,0,9.6,0,6,5.5
11/18/1961,9.3,0,0,0,9.6,0,6.1,6.3
11/19/1961,9.3,0,0,0,9.4,0,8.4,7.2
11/20/1961,13,0,0,0,9.5,0,8.4,7.2
11/21/1961,7,0,17.8,0,10.2,0,1.1,-2.7
11/22/1961,9.2,0,0.7,0,12.3,0,1.6,NA
11/23/1961,15.4,0,0,0,8.7,0,2.4,-0.5
11/24/1961,16.2,0,0.9,0,10,0,3.3,NA
11/25/1961,11.8,0,0,0,7.7,0,2.8,-0.2
11/26/1961,6.3,0,8.6,0,8.1,1,-0.4,-5.4
11/27/1961,5.8,0,1.2,0,6.8,2,0,NA
11/28/1961,12.8,0,0.9,0,8.3,0,1.7,-1.7
11/29/1961,15.3,0,12.5,0,12.6,0,3.5,4.2
11/30/1961,16.5,0,5.8,0,13.1,0,6.6,6.7
12/1/1961,7.3,0,0,0,5.5,0,4.6,3.3
12/2/1961,12.2,0,3,0,7.2,0,0.3,-2.6
12/3/1961,7.7,0,3.2,0,7.4,1,-3.2,-7.8
12/4/1961,13.8,0,8.4,0,13.1,1,-2.2,NA
12/5/1961,17.8,0,0.1,2,5,0,0.7,-1.4
12/6/1961,12.6,0,0,0,3.3,1,-0.4,-3.1
12/7/1961,8.9,0,4.5,0,5.5,1,-5.4,-10.4
12/8/1961,19.8,0,4.2,0,11.5,1,-5,NA
12/9/1961,10,0,3.4,0,13.3,0,5.1,0.1
12/10/1961,18.8,0,4.6,0,14,0,5.1,0.4
12/11/1961,25.6,0,0.4,0,11.8,0,9.5,8.3
12/12/1961,16.8,0,3.3,0,13.4,0,9.1,7.5
12/13/1961,16.7,0,0.2,2,13.5,0,7.8,2.5
12/14/1961,9.4,0,0.1,0,12.7,1,-1.1,-5.5
12/15/1961,10.7,0,0,0,13.2,1,-0.5,NA
12/16/1961,6.9,0,0,0,11.2,0,7.8,3.3
12/17/1961,9.5,0,0,0,9,0,4.8,1.6
12/18/1961,4.8,0,0,0,4.4,1,-2.7,-8.3
12/19/1961,3.5,0,0,0,2.1,1,-5,-8.5
12/20/1961,3.6,0,0,0,6.1,1,-5.5,-9
12/21/1961,4.3,0,0,0,6.2,1,-5,-6.7
12/22/1961,13.6,0,0,0,6.8,1,-1.6,NA
12/23/1961,18.1,0,0,2,5,0,3.8,3.4
12/24/1961,8.5,0,0,0,2.6,1,-0.5,-5.1
12/25/1961,11.9,0,0,2,5,1,-2.7,-10.7
12/26/1961,17.1,0,0,0,5,0,0.7,-0.5
12/27/1961,2.9,0,0,0,3.3,1,-3.2,-9.4
12/28/1961,9,0,0,0,3.8,1,-5.2,-10
12/29/1961,15,0,0,2,3,1,-5,-8.6
12/30/1961,17.3,0,0,0,1.7,0,0.1,0
12/31/1961,10,0,1.3,0,1.5,1,-11,-13.4
1/1/1962,10.4,0,0,0,1.2,1,-10.7,NA
1/2/1962,8.5,0,0,1,-0.1,1,-7.8,-10.5
1/3/1962,4.6,0,0,0,1.8,1,-8.1,-8.8
1/4/1962,5.5,0,0,0,6,1,-3.8,NA
1/5/1962,15.3,0,1.8,0,9.1,1,-2.3,-7.1
1/6/1962,8.5,0,2.1,0,11.6,0,4.6,2.4
1/7/1962,14.3,0,0,0,8.8,0,4.5,0.6
1/8/1962,17.7,0,6.8,0,10.8,0,6.2,3.3
1/9/1962,15.3,0,0,0,6.2,0,3.1,0.5
1/10/1962,14.3,0,4.2,0,12.5,0,1.7,-1.1
1/11/1962,26,0,0.7,0,7.6,0,2.4,0
1/12/1962,23.5,0,0.1,0,7.6,0,3.2,0.7
1/13/1962,19.7,0,0,0,5.5,0,0,-1.2
1/14/1962,12.4,0,0.1,0,8.6,0,0.5,-2.6
1/15/1962,20.4,0,7.8,0,11.5,0,0.8,-0.3
1/16/1962,19.8,0,2.7,0,8.1,0,2.6,-0.5
1/17/1962,22.8,0,1,0,8.6,0,2.8,3.8
1/18/1962,12.5,0,0,0,8.3,0,1.1,-2.7
1/19/1962,16.1,0,1.1,0,9.8,0,2.2,1.6
1/20/1962,10.3,0,1.1,0,11.1,0,4.2,1.8
1/21/1962,17.3,0,2.4,0,8.8,0,5.5,3.8
1/22/1962,23.3,0,0,0,6.2,0,1.8,-0.5
1/23/1962,12.7,0,2.6,0,11.2,0,2.3,-0.4
1/24/1962,17.3,0,1,0,11.7,0,3.3,1.1
1/25/1962,18.3,0,0,0,11.3,0,7.2,5.4
1/26/1962,7.4,0,0.9,0,8.7,0,7,4.7
1/27/1962,5.2,0,0,0,7.7,0,4.6,1.8
1/28/1962,3.6,0,0,0,8.2,0,5.6,5
1/29/1962,2.2,0,0,0,10.2,0,5.5,4.5
1/30/1962,13.3,0,0.3,0,11.1,0,1.1,-2.7
1/31/1962,22.4,0,2,0,12.2,0,6.1,NA
2/1/1962,15.7,0,0.3,0,7.4,0,1.6,-0.5
2/2/1962,13.2,0,0.8,0,10,0,2.1,1.1
2/3/1962,16,0,0,0,10.7,0,3.6,-1.7
2/4/1962,18.9,0,4,0,10.2,0,3.8,1.1
2/5/1962,15.8,0,0,0,10.7,0,3.3,0.4
2/6/1962,18.8,0,2.6,0,11.6,0,3.8,1.8
2/7/1962,25,0,1.1,0,8.5,0,5.5,3.8
2/8/1962,8.2,0,0.1,2,10,0,1.7,-1.4
2/9/1962,12.1,0,0,0,11.2,2,1.7,NA
2/10/1962,15,0,1.1,0,10.5,0,6.8,6
2/11/1962,24.4,0,0.4,0,12.4,0,1.7,-2.2
2/12/1962,29.5,0,0.7,2,12.5,0,4.4,NA
2/13/1962,15.8,0,2.7,0,6.1,0,2,-0.1
2/14/1962,11.7,0,0,0,6.8,1,-1.1,-4
2/15/1962,23.5,0,2.9,0,10.7,0,0.1,-5
2/16/1962,28.8,0,0,0,8.8,0,6.3,5.5
2/17/1962,14.1,0,0,0,10.5,0,3.1,2.4
2/18/1962,8.3,0,0,0,9.8,0,3.8,-0.8
2/19/1962,7.9,0,0,0,10.8,0,6.2,2.2
2/20/1962,1.5,0,0,0,10.6,0,4.8,2.7
2/21/1962,7,0,0,0,9.5,0,6.1,5.4
2/22/1962,15.3,0,0,0,6.6,0,2.7,-2.3
2/23/1962,20.2,0,0,0,4,0,3.2,-0.5
2/24/1962,18.1,0,0,0,5.7,0,2.2,1.1
2/25/1962,22.6,0,0.4,0,4.6,0,2.3,1.7
2/26/1962,25.6,0,5.4,0,2.7,1,-1,-1.5
2/27/1962,26.9,0,0,0,3.5,1,-1,-0.8
2/28/1962,13.9,0,5.5,0,3.6,1,-0.5,-1.1
3/1/1962,8,0,1.1,0,3.5,0,0,-0.1
3/2/1962,9.6,0,0.5,0,5.5,0,0.1,-1.6
3/3/1962,6.7,0,5,0,1,1,-6,-5.4
3/4/1962,5.3,0,0,0,3.3,1,-7.4,-8.8
3/5/1962,5.8,0,0,0,6.1,1,-6.2,-12
3/6/1962,8,0,0,0,6.1,1,-6.6,-12
3/7/1962,29.6,0,2.7,0,5.5,1,-1.2,-4.7
3/8/1962,18,0,13.9,0,6.2,0,1.2,0.3
3/9/1962,9,0,6,0,9.2,0,2.7,1.6
3/10/1962,3.8,0,7.7,0,8.3,0,5.8,6.6
3/11/1962,10.9,0,2.7,2,5.5,0,4.5,4.5
3/12/1962,7.7,0,0,0,6.1,0,3.1,1.1
3/13/1962,6.8,0,0,0,5.7,1,-2.7,-7.2
3/14/1962,4,0,0,0,5.4,1,-3.8,-10
3/15/1962,16.5,0,3,0,5.6,0,0.2,-3.2
3/16/1962,12.6,0,0,0,6.1,0,1.7,1.8
3/17/1962,7.7,0,0,0,7.2,0,3.5,2.3
3/18/1962,5.8,0,0,0,11.6,1,-4.2,-9.2
